volume-89,0.00,0.00,0.00,0.00,0.00
volume-8,2542.85,4326.22,2192.21,5025.34,14964.60
volume-90,27182.30,18404.72,9282.63,23074.09,122428.00
volume-91,426.39,94.23,81.86,100.71,0.00
volume-92,170.37,30.62,126.07,118.50,948.03
volume-93,22342.38,23819.79,14876.81,38233.11,122038.00
volume-94,11240.27,6424.63,18485.12,18500.35,30727.40
volume-95,50.11,453.14,11474.99,372.10,1124.58
volume-96,1978.69,1359.13,1012.33,3169.10,15794.10
volume-97,69618.44,65971.96,38231.98,86403.97,265146.00
volume-98,51040.36,39568.82,26664.61,52120.80,229770.00
volume-99,226.01,388.79,109.80,297.36,5234.93
volume-9,2431.23,4104.77,711.27,4145.14,14924.50
