volume-8,17322.11,17304.86,8768.83,20101.35,14964.60
volume-90,74313.75,73618.88,37130.52,92296.38,122428.00
volume-91,803.30,376.92,327.45,402.83,0.00
volume-92,293.92,122.47,504.27,474.01,948.03
volume-93,94998.68,95279.16,59507.23,152932.43,122038.00
volume-94,139943.16,25698.51,73940.47,74001.41,30727.40
volume-95,9509.05,1812.58,45899.98,1488.40,1124.58
volume-96,11307.91,5436.52,4049.34,12676.39,15794.10
volume-97,306002.08,263887.82,152927.93,345616.88,265146.00
volume-98,198655.75,158275.28,106658.46,208483.22,229770.00
volume-99,562.24,1555.14,439.20,1189.43,5234.93
volume-9,17223.87,16419.07,2845.07,16580.57,14924.50
